name,source,link,description,full_description
Design scenarios,This is Service Design Thinking,http://thisisservicedesignthinking.com/,"Are essentially hypothetical stories, created with sufficient detail to meaningful explore a particular aspect of a service offering","Are essentially hypothetical stories, created with sufficient detail to meaningful explore a particular aspect of a service offering"
Design Scorecard,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Design_Scorecards_0.xls,"Develop a dashboard to track your design and its underlying processes. Use this tool to predict the final quality of a design and recognize gaps so it can be improved before it is implemented.  Use this tool in conjunction with Design FMEA , Measurement System Analysis and Robust Design for more robust analysis.","Develop a dashboard to track your design and its underlying processes. Use this tool to predict the final quality of a design and recognize gaps so it can be improved before it is implemented.  Use this tool in conjunction with Design FMEA , Measurement System Analysis and Robust Design for more robust analysis."
Desktop walkthrough,This is Service Design Thinking,http://thisisservicedesignthinking.com/,Is a small-scale 3D model of a service environment. Employing simple props like Lego figures lets designers bring a situation to life.,Is a small-scale 3D model of a service environment. Employing simple props like Lego figures lets designers bring a situation to life.
Dialogue Interviews,Presencing Institute,http://www.presencing.com/sites/default/files/tools/UTool_DialogueInterviews.pdf,"Dialogue interviews are intended to engage the interviewee in a reflective and generative conversation. This tool can be used to prepare for projects, workshops, or capacity building programs. The purpose is to create a generative conversation that allows for reflection, thinking together and some sparks of collective creativity to happen.","Dialogue interviews are intended to engage the interviewee in a reflective and generative conversation. This tool can be used to prepare for projects, workshops, or capacity building programs. The purpose is to create a generative conversation that allows for reflection, thinking together and some sparks of collective creativity to happen."
Diary Template,Design Flanders,http://www.servicedesigntoolkit.org/assets/templates/DiaryTemplate_EN.docx,5 page diary template,5 page diary template
Discovery,Butterfly Works,http://www.butterflyworks.org/content/25652/co-creation_method,The Inspiration and Discovery steps go hand-in-hand. Facilitators prepare a number of group exercises that help participants to unpack the question at hand and address its various aspects.,The Inspiration and Discovery steps go hand-in-hand. Facilitators prepare a number of group exercises that help participants to unpack the question at hand and address its various aspects.
Empathetic Design,IDEO,http://www.hcdconnect.org/toolkit/en,Creating solutions through empathy is a way for the design team to blend their expertise with the on-the-ground needs of people. Empathy means deep understanding of the problems and realities of the people you are designing for,Creating solutions through empathy is a way for the design team to blend their expertise with the on-the-ground needs of people. Empathy means deep understanding of the problems and realities of the people you are designing for
Emphasising uncertainty,Australian Govt,http://innovation.govspace.gov.au/tools/emphasising-uncertainty/,"It can be helpful to put an innovation into context and emphasise the uncertainty about what is going to work. What is the innovation trying to do – and if it does not succeed as might be hoped, what will that result tell us? Public policy can operate in a very uncertain environment, so an innovation can play a valuable role in reducing the existing uncertainty, and pointing the way to what does work.","It can be helpful to put an innovation into context and emphasise the uncertainty about what is going to work. What is the innovation trying to do – and if it does not succeed as might be hoped, what will that result tell us? Public policy can operate in a very uncertain environment, so an innovation can play a valuable role in reducing the existing uncertainty, and pointing the way to what does work."
Engagement and collaboration,Australian Govt,http://innovation.govspace.gov.au/tools/engagement-and-collaboration/,"Innovation flourishes in an environment of openness and collaboration. Strengthening engagement with citizens, clients and stakeholders can boost the innovative potential of the organisation substantially.","Innovation flourishes in an environment of openness and collaboration. Strengthening engagement with citizens, clients and stakeholders can boost the innovative potential of the organisation substantially."
Evidence Modelling,Giulia Piu,http://www.businessdesigntools.com/2011/12/evidence-modelling/,"The Evidence Modelling exercise is about envisioning your business in the future and give a clear direction of where the business should be heading. It helps moving from features to benefits and to make the future more tangible. It is a powerful way to articulate an idea and communicate the impact it will have in the future. It  also help to understand possible mistakes that can stop the entrepreneur achieving his dream.
The technique require the entrepreneur to think about the future and envision what they would like other people to write or say about them in the future.","The Evidence Modelling exercise is about envisioning your business in the future and give a clear direction of where the business should be heading. It helps moving from features to benefits and to make the future more tangible. It is a powerful way to articulate an idea and communicate the impact it will have in the future. It  also help to understand possible mistakes that can stop the entrepreneur achieving his dream.
The technique require the entrepreneur to think about the future and envision what they would like other people to write or say about them in the future."
Evidencing,Roberta Tassi,http://www.servicedesigntools.org/tools/43,"The methodology called evidencing, pioneered by the UK firm Livework, involves creating objects and images exploring the way a proposed design innovation will feel and work through its touchpoints.
Evidencing means taking the ideas and animate them as tangible evidence of the future.
This kind of “archeology of the future” enables the designers to make early qualitative judgments about the implication of the design solution they’re conceiving.","The methodology called evidencing, pioneered by the UK firm Livework, involves creating objects and images exploring the way a proposed design innovation will feel and work through its touchpoints.
Evidencing means taking the ideas and animate them as tangible evidence of the future.
This kind of “archeology of the future” enables the designers to make early qualitative judgments about the implication of the design solution they’re conceiving."
EXPECT more individual responsibility,Harvard,http://socialinnovation.ash.harvard.edu/innovators-toolkit,Another important strategy for the social innovator is based on an understanding that progress requires citizens to move from passive recipients of public services to active participants in civic life.,Another important strategy for the social innovator is based on an understanding that progress requires citizens to move from passive recipients of public services to active participants in civic life.
Experience Prototype,Roberta Tassi,http://www.servicedesigntools.org/tools/21,The experience prototype is a simulation of the service experience that foresees some of its performances through the use of the specific physical touchpoints involved.,The experience prototype is a simulation of the service experience that foresees some of its performances through the use of the specific physical touchpoints involved.
Experience prototyping,MJV,http://designthinkingbook.co.uk/,"How to know if the solution developed theoretically will work when put into practice? Learn how to foresee problems, making concepts tangible and refining ideas by watching the video.","How to know if the solution developed theoretically will work when put into practice? Learn how to foresee problems, making concepts tangible and refining ideas by watching the video."
Experience prototyping,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,a basic visualisation of the experience process of your product.,a basic visualisation of the experience process of your product.
Experimental spaces,Australian Govt,http://innovation.govspace.gov.au/tools/experimental-spaces/,Innovation involves risk. An experimental space can allow for exploration of risks in a contained manner and by making explicit that the work being done is an experiment and so by definition might fail.,Innovation involves risk. An experimental space can allow for exploration of risks in a contained manner and by making explicit that the work being done is an experiment and so by definition might fail.
Extract Key Insights,IDEO,http://www.hcdconnect.org/toolkit/en,"Insights are revelations – the unexpected things that make you sit up and pay attention.
» Insights extrapolate individual stories into overarching truths.
» Insights allow us to see our design challenge in a new light","Insights are revelations – the unexpected things that make you sit up and pay attention.
» Insights extrapolate individual stories into overarching truths.
» Insights allow us to see our design challenge in a new light"
Facilitation,DFID,http://portals.wi.wur.nl/files/docs/ppme/toolsfordevelopment1_DFID.pdf,"This note offers a brief overview of facilitation including its benefits, core values, basic concepts, guidance on when and where it is needed, and practical tips for using facilitation to increase participation and to strengthen each stage of the Activity Cycle","This note offers a brief overview of facilitation including its benefits, core values, basic concepts, guidance on when and where it is needed, and practical tips for using facilitation to increase participation and to strengthen each stage of the Activity Cycle"
Find Themes,IDEO,http://www.hcdconnect.org/toolkit/en,"Finding themes is about exploring the commonalities, differences, and relationships between the information.","Finding themes is about exploring the commonalities, differences, and relationships between the information."
Focus Group Template,Design Flanders,http://www.servicedesigntoolkit.org/assets/templates/FocusGroupTemplate_EN.docx,8 page word document that guides one through focus group process,8 page word document that guides one through focus group process
Functional prototypes,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,made in order to test the working or functionalities of a concept.,made in order to test the working or functionalities of a concept.
Gather Feedback,IDEO,http://www.hcdconnect.org/toolkit/en,"Don’t invest too much time perfecting the ideas before feedback – the point of re-engaging customers is to change the solutions, not to prove that they
are perfect. The best feedback is that which makes you rethink and redesign","Don’t invest too much time perfecting the ideas before feedback – the point of re-engaging customers is to change the solutions, not to prove that they
are perfect. The best feedback is that which makes you rethink and redesign"
Getting Started,Butterfly Works,http://www.butterflyworks.org/content/25652/co-creation_method,"Get people in a creative frame of mind by standing in a circle and having everyone name something interesting they see on their way to work, it can be anything, a beautiful poster, an old wall, and a funny shop. Just to get the ideas flowing.","Get people in a creative frame of mind by standing in a circle and having everyone name something interesting they see on their way to work, it can be anything, a beautiful poster, an old wall, and a funny shop. Just to get the ideas flowing."
Group Sketching,Roberta Tassi,http://www.servicedesigntools.org/tools/34,"It is used during the co-design sessions in order to share the insights inside the team: this tool offers a common ground for the discussion even when the participants have different cultural and social backgrounds.
It is based on basic and simple drawings in order to encourage the participation of everybody.","It is used during the co-design sessions in order to share the insights inside the team: this tool offers a common ground for the discussion even when the participants have different cultural and social backgrounds.
It is based on basic and simple drawings in order to encourage the participation of everybody."
Grow an Idea,Frog,http://www.frogdesign.com/collective-action-toolkit,Build off the unique strengths of each other’s ideas to create even better ones.,Build off the unique strengths of each other’s ideas to create even better ones.
Grow an idea tree,Manuel Sturm (www.modelminds.nl) & Manuel Bollue (www.manuelbollue.com),http://blog.modelminds.nl/?p=7576,How to converge the mass of ideas created in a brain- storm session into a workable and clear project?,How to converge the mass of ideas created in a brain- storm session into a workable and clear project?
Heuristic Evaluation,Roberta Tassi,http://www.servicedesigntools.org/tools/16,The heuristic evaluation is a method of inspection of the service usability based on a predefined set of criteria that the evaluators follow during the analysis.,The heuristic evaluation is a method of inspection of the service usability based on a predefined set of criteria that the evaluators follow during the analysis.
Heuristic Redefinition,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Heuristic_Redefinition_7-2.xls,"This form will help you create a picture of your system and its parts to focus ideation.  Use this when your Job-to-be-Done (JTBD) is not well defined, or is broad rather than targeted in nature and you need more specificity to take meaningful innovation action.","This form will help you create a picture of your system and its parts to focus ideation.  Use this when your Job-to-be-Done (JTBD) is not well defined, or is broad rather than targeted in nature and you need more specificity to take meaningful innovation action."
High-fidelity prototype,Giulia Piu,http://www.businessdesigntools.com/2012/03/high-fidelity-prototyping/,High-fidelity prototype is a tool for testing a product or service by observing how user interact with the service. It should simulate how the real product or service. The more accurate is the prototype the more accurate are the test results. The aim is to verify if the product or service designed satisfy the need of the user that came out from previous phases and the test are usually run in usability labs (usability testing). Testing the product or service in the real context of use will bring to better results.,High-fidelity prototype is a tool for testing a product or service by observing how user interact with the service. It should simulate how the real product or service. The more accurate is the prototype the more accurate are the test results. The aim is to verify if the product or service designed satisfy the need of the user that came out from previous phases and the test are usually run in usability labs (usability testing). Testing the product or service in the real context of use will bring to better results.
Idea generation,This is Service Design Thinking,http://thisisservicedesignthinking.com/,"Ideation techniques are what service designers use to structure and inspire group branstorming sessions. Mind-mapping, S.W.OT analysis and Six Thinking hats are all examples of ideation techniques","Ideation techniques are what service designers use to structure and inspire group branstorming sessions. Mind-mapping, S.W.OT analysis and Six Thinking hats are all examples of ideation techniques"
Idea menu,MJV,http://designthinkingbook.co.uk/,"A catalog displaying a synthesis of all the ideas generated for the project. It may include comments on the ideas, possible elaborations and business opportunities","A catalog displaying a synthesis of all the ideas generated for the project. It may include comments on the ideas, possible elaborations and business opportunities"
idea remix,Frog,http://www.frogdesign.com/collective-action-toolkit,"Take ideas your group already has, whether good or bad, and combine them in different ways to generate new ones.","Take ideas your group already has, whether good or bad, and combine them in different ways to generate new ones."
Idea selection,Australian Govt,http://innovation.govspace.gov.au/tools/idea-selection/,Agencies need to consider how they are going to best filter the ideas that they receive and select those to attempt.,Agencies need to consider how they are going to best filter the ideas that they receive and select those to attempt.
Idea Sorting and Refining,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Idea_Sorting_Refinement.xls,"Idea sorting and refinement is a simple and effective way to make your ideas more practical and viable, as well as more appealing to those who are funding the innovation project (your stakeholders).","Idea sorting and refinement is a simple and effective way to make your ideas more practical and viable, as well as more appealing to those who are funding the innovation project (your stakeholders)."
Identify Patterns,IDEO,http://www.hcdconnect.org/toolkit/en,"Making sense of your research is accomplished by seeing the patterns, themes, and larger relationships between the information. This process
can be messy and difficult at times, but ultimately very rewarding. Seeing the patterns and connections between the data will lead you quickly toward real-world solutions. There are several steps listed here to take you through the process for you use selectively based on the subject matter.","Making sense of your research is accomplished by seeing the patterns, themes, and larger relationships between the information. This process
can be messy and difficult at times, but ultimately very rewarding. Seeing the patterns and connections between the data will lead you quickly toward real-world solutions. There are several steps listed here to take you through the process for you use selectively based on the subject matter."
Imaginary Brainstorming,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Imaginary_Brainstorming_21-1.xls,Sometimes to come up with the breakthrough idea you must get silly for the sake of creativity.  Use this tool when you are struggling to develop innovative ideas around a particular area.,Sometimes to come up with the breakthrough idea you must get silly for the sake of creativity.  Use this tool when you are struggling to develop innovative ideas around a particular area.
Imagine More Ideas,Frog,http://www.frogdesign.com/collective-action-toolkit,Create new solutions for the problems you want to solve. This activity area will help your group imagine more ideas and then decide what makes some of them more actionable than others.,Create new solutions for the problems you want to solve. This activity area will help your group imagine more ideas and then decide what makes some of them more actionable than others.
"INCLUDING
END-USERS","DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,Create mutual value by including end-users in your business model – employ your customers and let them access new markets for you.,Create mutual value by including end-users in your business model – employ your customers and let them access new markets for you.
Innovation Financial Management,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Innovation_Financial_Mgmt_0.xls,"Constantly improve your assumption-to-knowledge ratio.  At the beginning of a project use this form to evaluate the feasibility of your innovation before putting too much time, money and resources into it.  As you move through the implementation continue to visit this form to make sure your assumptions are still accurate and the project is still viable.","Constantly improve your assumption-to-knowledge ratio.  At the beginning of a project use this form to evaluate the feasibility of your innovation before putting too much time, money and resources into it.  As you move through the implementation continue to visit this form to make sure your assumptions are still accurate and the project is still viable."
Inspiration,Butterfly Works,http://www.butterflyworks.org/content/25652/co-creation_method,The Inspiration and Discovery steps go hand-in-hand. Facilitators prepare a number of group exercises that help participants to unpack the question at hand and address its various aspects.,The Inspiration and Discovery steps go hand-in-hand. Facilitators prepare a number of group exercises that help participants to unpack the question at hand and address its various aspects.
Instituitogramme,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,"It helps to identify the relevant actor in the institutional environment , and depict their relations, leading to conclusions in good relations and form of colaboration and co-ordination that requiare improvement or that need to be newly established.","It helps to identify the relevant actor in the institutional environment , and depict their relations, leading to conclusions in good relations and form of colaboration and co-ordination that requiare improvement or that need to be newly established."
Interview Template,Design Flanders,http://www.servicedesigntoolkit.org/assets/templates/InterviewTemplate_%20EN.docx,"8 page word document that guides one through interview process, including suggested script","8 page word document that guides one through interview process, including suggested script"
Issue Cards,Roberta Tassi,http://www.servicedesigntools.org/tools/32,The issue cards are a physical instrument used as a peg to induce and feed interactive dynamics inside a team.,The issue cards are a physical instrument used as a peg to induce and feed interactive dynamics inside a team.
Issue Urgency Axis,Butterfly Works,http://www.butterflyworks.org/content/25652/co-creation_method,"Participants individually write down the issues related to a topic on a sticky note. As a group, they place each note on a graph, with one axis representing urgency, and the other the relative number of people that the issue affects. This gauges which topics warrant the most attention.","Participants individually write down the issues related to a topic on a sticky note. As a group, they place each note on a graph, with one axis representing urgency, and the other the relative number of people that the issue affects. This gauges which topics warrant the most attention."
"it’s like, it’s not like",Frog,http://www.frogdesign.com/collective-action-toolkit,Share your ideas with other people in a way that relates new concepts to real-world examples.,Share your ideas with other people in a way that relates new concepts to real-world examples.
jam session,Frog,http://www.frogdesign.com/collective-action-toolkit,"Create as many ideas as possible with your group, exploring a range of different solutions and building on each other’s ideas in a supportive manner.","Create as many ideas as possible with your group, exploring a range of different solutions and building on each other’s ideas in a supportive manner."
knowledge hunt,Frog,http://www.frogdesign.com/collective-action-toolkit,Find out what your team already knows about challenges you’re interested in solving together— and what you’d like to learn.,Find out what your team already knows about challenges you’re interested in solving together— and what you’d like to learn.
"Ladder of
participation",DFID,http://portals.wi.wur.nl/files/docs/ppme/toolsfordevelopment1_DFID.pdf,"Participatory approaches require attitudes that favour:
¥ Participation
¥ Respect for community members
¥ Interest in what they know, say, show and do
¥ Patience, not rushing, not interrupting
¥ Listening not lecturing","Participatory approaches require attitudes that favour:
¥ Participation
¥ Respect for community members
¥ Interest in what they know, say, show and do
¥ Patience, not rushing, not interrupting
¥ Listening not lecturing"
Large-scale functionality testing,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,allows the prototype to prove itself in the real world.,allows the prototype to prove itself in the real world.
larger-scale field testing,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,to research the actual impact of the prototype on society.,to research the actual impact of the prototype on society.
Lego Serious Play,Roberta Tassi,http://www.servicedesigntools.org/tools/46,"The process is based on the use of common LEGO in order to envision and share thoughts inside a team while discussing about the context and the system in which the new offering has to be positioned.
This kind of hands-on, minds-on learning produces a deeper, more meaningful understanding of the world and its possibilities; moreover LEGO Serious Play deepens the reflection process and supports an effective dialogue.","The process is based on the use of common LEGO in order to envision and share thoughts inside a team while discussing about the context and the system in which the new offering has to be positioned.
This kind of hands-on, minds-on learning produces a deeper, more meaningful understanding of the world and its possibilities; moreover LEGO Serious Play deepens the reflection process and supports an effective dialogue."
LEVERAGE social media,Harvard,http://socialinnovation.ash.harvard.edu/innovators-toolkit,"To rethink and rebuild the way we deal with social problems, you will want to engage citizens as catalysts for social change—whether as clients, community members, or fellow entrepreneurs. There are a number of important opportunities for digital media to help build citizens’ capacity for self-organization and for community problem-solving and to help grow the most exceptional providers.","To rethink and rebuild the way we deal with social problems, you will want to engage citizens as catalysts for social change—whether as clients, community members, or fellow entrepreneurs. There are a number of important opportunities for digital media to help build citizens’ capacity for self-organization and for community problem-solving and to help grow the most exceptional providers."
"lights, camera, action!",Frog,http://www.frogdesign.com/collective-action-toolkit,"Use characters, scenes, and conversations to tell a meaningful tale about your idea to an audience.","Use characters, scenes, and conversations to tell a meaningful tale about your idea to an audience."
Logframe,ILO,http://www.ilo.org/public/english/employment/ent/coop/africa/download/coopafricaprojectdesignmanual.pdf,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations
Logical framework,ILO,http://www.ilo.org/public/english/employment/ent/coop/africa/download/coopafricaprojectdesignmanual.pdf,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations
Logical frameworks,DFID,http://portals.wi.wur.nl/files/docs/ppme/toolsfordevelopment1_DFID.pdf,"Logical Frameworks (usually referred to as logframes )
are widely used by development organisations to help
strengthen activity design, implementation and evaluation.
They can be used in almost any context to identify what is
to be achieved, and to determine to what degree the
planned activity fits into broader or higher-level strategies","Logical Frameworks (usually referred to as logframes )
are widely used by development organisations to help
strengthen activity design, implementation and evaluation.
They can be used in almost any context to identify what is
to be achieved, and to determine to what degree the
planned activity fits into broader or higher-level strategies"
Make Something Real,Frog,http://www.frogdesign.com/collective-action-toolkit,"You don’t know if an idea will work until you try to make it real. This activity area will help your group test out ideas in fun ways, such as telling stories or by building a version of it to evaluate. Experiment with a few of these activities and see what your team discovers.","You don’t know if an idea will work until you try to make it real. This activity area will help your group test out ideas in fun ways, such as telling stories or by building a version of it to evaluate. Experiment with a few of these activities and see what your team discovers."
Make user cases,Butterfly Works,http://www.butterflyworks.org/content/25652/co-creation_method,"Participants describe how a user will access the end solution, and argue why they would or would not want this solution.","Participants describe how a user will access the end solution, and argue why they would or would not want this solution."
Map the ecosystem,Butterfly Works,http://www.butterflyworks.org/content/25652/co-creation_method,"Participants draw one stakeholder, such as a child, in the middle of a sheet of paper and draw concentric circles indicating the relative influence of various actors. Once the “ecosystem” is complete, the group maps the potential for a certain technology to open up effective communication lines.","Participants draw one stakeholder, such as a child, in the middle of a sheet of paper and draw concentric circles indicating the relative influence of various actors. Once the “ecosystem” is complete, the group maps the potential for a certain technology to open up effective communication lines."
Mapping a service Ecology,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,"To map the people, organisations and things which exist (or could exist) around a participant and to think about how these different elements connect to one another. To help a team move away from thinking just about people and organisations, and pay more attention to the things that are part of our mutual interactions such as databases, application or assessment forms, leaflets, posters, membership cards, meeting rooms, chairs, buses, cups of tea, websites and apps.","To map the people, organisations and things which exist (or could exist) around a participant and to think about how these different elements connect to one another. To help a team move away from thinking just about people and organisations, and pay more attention to the things that are part of our mutual interactions such as databases, application or assessment forms, leaflets, posters, membership cards, meeting rooms, chairs, buses, cups of tea, websites and apps."
Meeting Tool,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/BMGI%20Meeting%20Tool.xls,A team meeting should be handled as a process by itself. The templates in this document will help the student to appropriately manage the resources involved in the meeting and all the other inputs and desired output that the meeting leader needs to plan for.,A team meeting should be handled as a process by itself. The templates in this document will help the student to appropriately manage the resources involved in the meeting and all the other inputs and desired output that the meeting leader needs to plan for.
Method cards,IDEO,http://www.ideo.com/work/method-cards/,"IDEO Method Cards is a collection of 51 cards representing diverse ways that design teams can understand the people they are designing for. They are used to make a number of different methods accessible to all members of a design team, to explain how and when the methods are best used, and to demonstrate how they have been applied to real design projects.","IDEO Method Cards is a collection of 51 cards representing diverse ways that design teams can understand the people they are designing for. They are used to make a number of different methods accessible to all members of a design team, to explain how and when the methods are best used, and to demonstrate how they have been applied to real design projects."
Methods to produce indicator data,ILO,http://www.ilo.org/public/english/employment/ent/coop/africa/download/coopafricaprojectdesignmanual.pdf,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations
Mind Map,Roberta Tassi,http://www.servicedesigntools.org/tools/15,"The visualization begins with a problem or an idea put in the centre of the representation. Then signs, lines, words and drawings are used in order to build a system of thoughts around the starting point.
The hand and the mind work simultaneously.","The visualization begins with a problem or an idea put in the centre of the representation. Then signs, lines, words and drawings are used in order to build a system of thoughts around the starting point.
The hand and the mind work simultaneously."
Mind Maps,ODI,http://www.odi.org.uk/sites/odi.org.uk/files/odi-assets/publications-opinion-files/188.pdf,"are a powerful graphic technique that can be applied to all aspects of life where improved learning and clearer thinking will enhance performance and effectiveness. It is a non-linear way of organising information and a technique that allows capture of the natural flow of ideas. It can be 
applied by individuals or by groups, to improve simple tasks, such as writing a memo, and to more complex tasks, such as getting a shared perspective of a complex project.","are a powerful graphic technique that can be applied to all aspects of life where improved learning and clearer thinking will enhance performance and effectiveness. It is a non-linear way of organising information and a technique that allows capture of the natural flow of ideas. It can be 
applied by individuals or by groups, to improve simple tasks, such as writing a memo, and to more complex tasks, such as getting a shared perspective of a complex project."
Mock up,Roberta Tassi,http://www.servicedesigntools.org/tools/18,"The mock up is a model, an illustration or a collage describing an idea.","The mock up is a model, an illustration or a collage describing an idea."
Moodboard,Roberta Tassi,http://www.servicedesigntools.org/tools/17,A mood board is a visual composition of pictures and materials that propose an atmosphere by giving the generic perception of it.,A mood board is a visual composition of pictures and materials that propose an atmosphere by giving the generic perception of it.
Morphological Matrix,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Morphological_Matrix_0.xls,Generate solution concepts by combining design alternatives.  Use this tool to combine design options at the sub function level to help you come up with new solutions.  You can use this after you have used the Function Structure technique.  If you are using the Axiomatic Design technique you can use this to translate functional requirements into design parameters.,Generate solution concepts by combining design alternatives.  Use this tool to combine design options at the sub function level to help you come up with new solutions.  You can use this after you have used the Function Structure technique.  If you are using the Axiomatic Design technique you can use this to translate functional requirements into design parameters.
Most Significant Change (MSC),ODI,http://www.odi.org.uk/sites/odi.org.uk/files/odi-assets/publications-opinion-files/188.pdf,a form of participatory monitoring and evaluation. It is participatory because many project stakeholders are involved both in deciding the sorts of change to be recorded and in analysing the data. It is a form of monitoring because it occurs throughout the programme cycle and provides information to help people manage it. MSC contributes to evaluation because it provides data on impact and outcomes which can be used to help assess the performance of the programme as a whole.,a form of participatory monitoring and evaluation. It is participatory because many project stakeholders are involved both in deciding the sorts of change to be recorded and in analysing the data. It is a form of monitoring because it occurs throughout the programme cycle and provides information to help people manage it. MSC contributes to evaluation because it provides data on impact and outcomes which can be used to help assess the performance of the programme as a whole.
Motivation Matrix,Roberta Tassi,http://www.servicedesigntools.org/tools/20,"This is possible thanks to the elicitation of the motivation that each one of them has while participating in the system: each actor expresses what he needs or expects from the service.
The motivation matrix is an interesting means of investigation of the solution assuming the point of view of each stakeholder with his own interests.","This is possible thanks to the elicitation of the motivation that each one of them has while participating in the system: each actor expresses what he needs or expects from the service.
The motivation matrix is an interesting means of investigation of the solution assuming the point of view of each stakeholder with his own interests."
NAVIGATE between collaboration and disruption,Harvard,http://socialinnovation.ash.harvard.edu/innovators-toolkit,"Having crafted your intervention, the next step is to execute. Implementation might start on a small scale, but a true breakthrough requires the growth of an innovation from the margins to the mainstream. To achieve this growth requires attracting resources and partners from across the system, but it also requires disruption of that same system.","Having crafted your intervention, the next step is to execute. Implementation might start on a small scale, but a true breakthrough requires the growth of an innovation from the margins to the mainstream. To achieve this growth requires attracting resources and partners from across the system, but it also requires disruption of that same system."
Need mapping beyond interaction,Manuel Sturm (www.modelminds.nl) & Manuel Bollue (www.manuelbollue.com),http://blog.modelminds.nl/?p=7576,"Various parties with different interests are in a conflict. Or if they have a say in the design, development, implementation and evaluation of a plan which shows many conflicting interests","Various parties with different interests are in a conflict. Or if they have a say in the design, development, implementation and evaluation of a plan which shows many conflicting interests"
Nine Windows,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Nine_Windows_8-1_0.xls,"Look at your opportunity through nine different lenses.  What is the current state, what was it in the past, what will it become in the future?  This tool helps you decide how and at what level to apply your innovation.","Look at your opportunity through nine different lenses.  What is the current state, what was it in the past, what will it become in the future?  This tool helps you decide how and at what level to apply your innovation."
Observation Template,Design Flanders,http://www.servicedesigntoolkit.org/assets/templates/ObservationTemplate_EN.docx,6 page word document that guides one through observation process,6 page word document that guides one through observation process
OPEN space for new ideas,Harvard,http://socialinnovation.ash.harvard.edu/innovators-toolkit,"As mentioned above, there are any number of constraints and barriers that any innovator is bound to face in starting and then growing a new approach. You can see that these challenges are found at both the organization and city level. They are as likely to be analytical and administrative in nature as they could be political and social.","As mentioned above, there are any number of constraints and barriers that any innovator is bound to face in starting and then growing a new approach. You can see that these challenges are found at both the organization and city level. They are as likely to be analytical and administrative in nature as they could be political and social."
Outcome Mapping,ODI,http://www.odi.org.uk/sites/odi.org.uk/files/odi-assets/publications-opinion-files/188.pdf,"The originality of the methodology is its shift away from assessing the development impact of a programme (defined as changes in state: for example, policy relevance, poverty alleviation, or reduced conflict) and toward changes in the behaviours, relationships, actions or activities of the people, groups and organisations with which a development programme works directly.","The originality of the methodology is its shift away from assessing the development impact of a programme (defined as changes in state: for example, policy relevance, poverty alleviation, or reduced conflict) and toward changes in the behaviours, relationships, actions or activities of the people, groups and organisations with which a development programme works directly."
Outcomes Matrix,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,Use this template to define outcomes to work towards for specific target groups,Use this template to define outcomes to work towards for specific target groups
Paper prototyping,MJV,http://designthinkingbook.co.uk/,"They are representations of graphic interfaces with different levels of fidelity, from hand-drwn wireframes on scraps of paper to schematic representations of cellphone screen apps,, to a package for soap with final text and color detailing","They are representations of graphic interfaces with different levels of fidelity, from hand-drwn wireframes on scraps of paper to schematic representations of cellphone screen apps,, to a package for soap with final text and color detailing"
Participatory Co-Design,IDEO,http://www.hcdconnect.org/toolkit/en,"Having the team co-design solutions with people from the community and local value chain actors can be a great way to leverage local knowledge. It can also lead to innovations that may be better adapted to the context and be more likely to be adopted, since local people have invested resources in their creation.","Having the team co-design solutions with people from the community and local value chain actors can be a great way to leverage local knowledge. It can also lead to innovations that may be better adapted to the context and be more likely to be adopted, since local people have invested resources in their creation."
